Evaluation_Name,Question_ID,Question,Response_ID,Answer,Comments,Clinician_AD_ID
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11589,4,,sinjeyan
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11591,5,,apulinec
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11592,5,,pwelsh
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11593,4,,jbonar
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11596,4,,nmoser
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11606,4,,lwiltshire
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11609,4,,ohuska
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11610,3,,jpajaczkowski
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11611,5,,mbarrigar
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11612,4,,gengel
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11614,5,,jbonar
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11615,3,,mbarrigar
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11616,3,,gengel
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11619,4,,ldegraauw
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11620,5,,nmoser
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11620,5,,nmoser
Cleveland Set 5 - 2016-2017,10572,"<span style=""font-family: Arial;""><span style=""font-size: small;"">Gave me constructive negative feedback concerning my performance (clinical knowledge; skills and professional attitudes).</span></span>",11620,5,,nmoser
